a,b,c,d,e
01/01/15,314885,327990,2902,208.39
01/02/15,329818,347370,2843,210.93
01/03/15,333521,349849,3130,169.49
01/04/15,325989,347181,3071,160.51
01/05/15,341130,365423,2830,222.59
01/06/15,354474,378572,2966,231.46
01/07/15,350322,371191,2821,231.43
01/08/15,377801,399551,3054,206.32
01/09/15,371351,403278,2650,219.14
01/10/15,348411,374017,2982,212.59
01/11/15,360806,391266,3585,195.48
01/12/15,358714,396503,3151,253.94
01/13/15,365738,390442,3712,236.14
01/14/15,830326,862095,3647,456.88
01/15/15,551041,571773,3853,310.89
01/16/15,396269,415702,3586,241.18
01/17/15,353746,370266,3922,195.81
01/18/15,363746,385740,4061,232.39
01/19/15,358517,382061,3573,238.6
01/20/15,361538,385832,3610,232.95
01/21/15,328049,343393,3486,176.94
01/22/15,390085,411019,3376,275.93
01/23/15,411848,430482,3445,271.76
01/24/15,407280,429639,4023,277.84
01/25/15,371829,395553,4143,239.57
01/26/15,366745,399356,3815,292.25
01/27/15,361967,391179,3734,246.35
01/28/15,399739,434463,3520,305.22
01/29/15,385151,413911,3837,274.48
01/30/15,359117,387778,3772,252.85
01/31/15,406245,433718,4052,260.45
02/01/15,426669,483300,4436,288.92
02/02/15,561647,600245,4863,368.62
02/03/15,483375,523136,4678,344.86
02/04/15,466865,512146,4775,298.7
02/05/15,608859,510899,4937,410.27
02/06/15,645136,444625,4410,368.13
02/07/15,568080,386871,4529,368.71
02/08/15,585534,401955,4587,328.32
02/09/15,595957,408120,4030,351.47
02/10/15,618018,392723,3870,346.12
02/11/15,680335,408983,4050,324.32
02/12/15,690880,416768,4051,304.3
02/13/15,598893,365102,4148,262.13
02/14/15,521964,321095,4339,255.79
02/15/15,584564,352697,4492,238.91
02/16/15,605204,361491,4193,265.94
02/17/15,630275,379723,4425,301.37
02/18/15,611582,371321,4314,300.08
02/19/15,633157,382411,4081,297.5
02/20/15,675725,408681,4496,344.49
02/21/15,682793,411913,4535,318.12
02/22/15,709414,419513,4575,327.29
02/23/15,743248,450059,4261,342.46
02/24/15,784500,472423,4116,347.23
02/25/15,796306,482407,3876,358.95
02/26/15,725614,446835,3902,340.91
02/27/15,682816,402820,3956,356.59
02/28/15,650185,376573,4117,354.78
03/01/15,609338,361737,4511,287.05
03/02/15,520980,293996,3795,198.41
03/03/15,548221,309142,4005,195.5
03/04/15,551084,310425,4175,211.02
03/05/15,567415,314776,4322,231.01
03/06/15,474309,273555,4219,205.3
03/07/15,456195,255667,4359,197.4
03/08/15,465933,265039,4507,182.7
03/09/15,550353,318713,4466,251.18
03/10/15,545449,313324,4252,206.17
03/11/15,492115,274286,4668,185.19
03/12/15,469208,252051,5153,164.67
03/13/15,540438,295559,5023,193.09
03/14/15,595688,335864,5580,257.78
03/15/15,567863,317056,5051,221.19
03/16/15,620170,346724,4673,221.09
03/17/15,562997,316636,4624,225.27
03/18/15,584429,332357,4382,262.2
03/19/15,599481,341873,4884,247.42
03/20/15,546678,312417,5011,232.87
03/21/15,502534,287320,5046,230.34
03/22/15,535375,297386,4941,199.81
03/23/15,705665,371919,4285,297.67
03/24/15,549718,310145,4018,225.5
03/25/15,522053,308324,3913,224.58
03/26/15,472051,278302,4122,210.5
03/27/15,460201,277129,3780,236.01
03/28/15,486471,288392,4285,297.24
03/29/15,489367,278570,3964,212.37
03/30/15,508546,292441,3813,226.41
03/31/15,539511,317133,4150,267.24
04/01/15,629577,387465,4398,350.49
04/02/15,534065,328746,4196,277.54
04/03/15,523483,317430,3680,283.7
04/04/15,485472,292375,3577,278.91
04/05/15,477376,300428,3649,250.18
04/06/15,540777,340624,3450,285.87
04/07/15,605176,365050,3348,251.03
04/08/15,559610,346778,3272,251.85
04/09/15,530683,339505,3451,266.91
04/10/15,528287,340041,3586,263.1
04/11/15,470536,305155,3691,245.69
04/12/15,476450,308259,3745,217.63
04/13/15,558829,360709,3933,255.43
04/14/15,564240,360408,3893,293.61
04/15/15,523793,328845,3816,250.84
04/16/15,498319,294548,4039,219.64
04/17/15,505778,308118,4205,219.94
04/18/15,484137,300375,4370,209.1
04/19/15,685495,389719,5219,448.61
04/20/15,757867,421443,4167,452.58
04/21/15,811356,446681,3573,306.83
04/22/15,644999,367779,3580,277.04
04/23/15,559755,331764,3562,254.05
04/24/15,502964,298967,3440,205.95
04/25/15,471747,280601,3757,202.9
04/26/15,496304,289206,4049,196.04
04/27/15,575222,333036,3717,220.22
04/28/15,558222,324780,3676,222.35
04/29/15,517317,304560,3860,230.47
04/30/15,519002,305832,3271,249.48
05/01/15,651366,377130,3642,294.67
05/02/15,582483,339263,3525,272.74
05/03/15,542650,319625,3783,243.35
05/04/15,651615,382414,3659,283.92
05/05/15,647297,379592,3436,283.74
05/06/15,584918,346128,3597,266.64
05/07/15,758743,449880,4193,339.77
05/08/15,723400,440102,4049,344.58
05/09/15,615798,367049,3970,288.92
05/10/15,534481,331257,4242,228.83
05/11/15,646023,403030,4017,298.42
05/12/15,661693,413809,4278,373.16
05/13/15,609129,382772,4551,315.8
05/14/15,537790,346261,4244,277.95
05/15/15,556239,376527,4225,331.67
05/16/15,659388,438952,4768,364.71
05/17/15,691158,430379,4788,331.63
05/18/15,596271,371033,4318,293.08
05/19/15,547152,338889,4769,275.75
05/20/15,525419,334015,4280,302.88
05/21/15,510544,321739,4298,273.89
05/22/15,493919,314897,4227,293.07
05/23/15,418360,260520,4359,249.64
05/24/15,428975,260735,4055,213.9
05/25/15,488011,292561,3853,258.74
05/26/15,525799,328717,4082,317.56
05/27/15,520201,317003,4218,306.83
05/28/15,457119,274732,3660,255.82
05/29/15,431035,261105,3690,231.6
05/30/15,398794,243437,3784,244.04
05/31/15,435792,253866,3862,208.79
06/01/15,478678,278388,3801,206.06
06/02/15,573718,327685,4053,271.98
06/03/15,496220,292225,3875,242.62
06/04/15,468177,277117,4079,249.69
06/05/15,486883,287839,4155,257.3
06/06/15,464936,276182,4957,214.49
06/07/15,499416,295358,5153,200.37
06/08/15,543161,325633,5053,270.04
06/09/15,577847,347683,5416,262.3
06/10/15,550364,347614,7305,310.57
06/11/15,478993,300962,5982,253.52
06/12/15,439795,279131,5664,231.15
06/13/15,415240,266152,5682,233.61
06/14/15,446911,284047,5441,248.61
06/15/15,503349,311589,5488,282.14
06/16/15,660132,383062,5170,356.92
06/17/15,645353,380833,5116,325.61
06/18/15,644976,372207,4983,313.33
06/19/15,520336,328117,4889,309.93
06/20/15,430145,272486,4815,281.43
06/21/15,451895,279311,5050,267.29
06/22/15,519557,305985,5260,263.32
06/23/15,668949,382588,5381,376.55
06/24/15,536577,334498,5395,320.41
06/25/15,534015,343115,5718,378.58
06/26/15,491873,319966,5219,356.19
06/27/15,422795,272899,4765,283.02
06/28/15,439721,280536,4956,251.67
06/29/15,525564,336716,4813,297.64
06/30/15,566432,359394,5514,361.4
07/01/15,505445,289042,3730,205.18
07/02/15,481135,280843,3505,196.55
07/03/15,437033,247957,3788,162.56
07/04/15,421160,245402,4143,179.9
07/05/15,482566,272992,4251,205.17
07/06/15,548080,316681,4146,203.93
07/07/15,560868,322436,3649,222.12
07/08/15,597850,348263,4191,239.14
07/09/15,586342,349818,4274,245.6
07/10/15,489491,286156,3586,266.53
07/11/15,447108,258945,3889,195.69
07/12/15,462037,267556,4202,211.65
07/13/15,492268,294835,3997,211.96
07/14/15,515749,304276,3915,254.51
07/15/15,487393,283466,3754,219.59
07/16/15,472283,265301,3767,264.54
07/17/15,450288,265941,3957,229.95
07/18/15,430832,257544,4430,216.75
07/19/15,483966,282243,4504,212.74
07/20/15,536699,309893,3951,236.07
07/21/15,623239,348379,4026,294.12
07/22/15,648047,357402,3838,314.53
07/23/15,585621,345874,3774,321.54
07/24/15,490861,297155,3707,238.19
07/25/15,438231,258535,3706,215.04
07/26/15,468083,264346,4174,204.72
07/27/15,545063,314906,3895,261.6
07/28/15,577923,346036,4036,293.76
07/29/15,518439,308741,3507,256.49
07/30/15,550617,310647,3634,250.48
07/31/15,488262,281321,3402,216.96
08/01/15,435712,244894,3093,237.37
08/02/15,467402,261707,3434,186.15
08/03/15,522866,298370,3259,236.32
08/04/15,560105,323754,3869,277.82
08/05/15,518316,300802,3682,240.69
08/06/15,474842,277536,3488,245.61
08/07/15,386569,212497,3173,156.08
08/08/15,233393,98649,3163,42.78
08/09/15,236494,100317,3164,32.12
08/10/15,244571,100812,2980,37.7
08/11/15,328154,156312,3174,87.39
08/12/15,330260,171682,2923,94.14
08/13/15,327886,177281,3471,110.34
08/14/15,366805,205267,4212,93.1
08/15/15,358160,198760,4611,80.86
08/16/15,395981,216096,3957,104.51
08/17/15,391666,213838,3932,96.84
08/18/15,468123,168538,4834,88.73
08/19/15,445940,88143,4412,54
08/20/15,396224,83424,4309,51.95
08/21/15,383729,78930,3938,41.3
08/22/15,367987,78091,4011,37.33
08/23/15,385460,80618,4129,35.05
08/24/15,461243,94005,3352,76.17
08/25/15,623646,161659,3687,189.73
08/26/15,701453,169256,3447,240.87
08/27/15,694332,169009,3860,197.75
08/28/15,624986,170943,4346,231
08/29/15,596884,152000,4441,180.37
08/30/15,659364,171728,4146,213.63
08/31/15,635429,163149,3651,182.12
