Board,Name,Link
Adafruit Gemma,3 foot mini USB to Standard USB cable,http://www.digikey.com/product-detail/en/3021003-03/Q362-ND/1531289
Arduino Mega,Arduino Ethernet Shield,http://www.digikey.com/product-detail/en/A000024/1050-1039-ND/3476356
Arduino Zero,Arduino Leonardo,http://www.digikey.com/product-detail/en/A000057/1050-1040-ND/3476353
Arduino Mega,Arduino Mega 2560,http://www.digikey.com/product-detail/en/A000067/1050-1018-ND/2639006
Arduino Yun,Arduino Pro Mini 3.3V,http://www.digikey.com/product-detail/en/DEV-11114/1568-1054-ND/5140819
Arduino Mega,Arduino Starter Kit,http://www.digikey.com/product-detail/en/K000007/1050-1075-ND/4486341
Arduino Zero,Arduino Wire Kit,http://www.digikey.com/product-detail/en/A000032/1050-1012-ND/2639000
Arduino Yun,Arduino Yun Mini,http://www.digikey.com/product-detail/en/A000108/1050-1057-ND/5177116
Intel Edison with Arduino Breakout,"Arduino, Intel Edison Block",http://www.digikey.com/product-detail/en/DEV-13036/1568-1141-ND/5673727
BeagleBone Black,Beagle Bone Black Box Housing,http://www.digikey.com/product-detail/en/1593HAMBONEBK/HM1364-ND/4490807
BeagleBone Black,Beagle Bone Black Power Supply,http://www.digikey.com/product-detail/en/WSU050-2000/237-1385-ND/3094911
BeagleBone Black,Beagle Bone Green,http://www.digikey.com/product-detail/en/102010027/1597-1007-ND/5482485
LinkIT One,Breakout for LinkIt Smart 7688,http://www.digikey.com/product-detail/en/103100002/1597-1280-ND/5806736
Adafruit Gemma,Buy It Now,http://www.digikey.com/product-search/en?vendor=0&keywords=1528-1297-nd
Arduino Mega,Buy It Now,http://www.digikey.com/product-detail/en/A000069/1050-1025-ND/2784003
Arduino UNO,Buy It Now,http://www.digikey.com/product-detail/en/A000066/1050-1024-ND/2784006
Arduino Yun,Buy It Now,http://www.digikey.com/product-detail/en/A000008/1050-1065-ND/4486331
Arduino Zero,Buy It Now,http://www.digikey.com/product-search/en?vendor=0&keywords=arduino+zero+pro
